citation_id,patent_id
6837116,6880254
6843776,6884227
6845090,6885643
6838322,6888181
20050000479,6892128
20050003926,6892128
6843173,6892638
6846377,6894677
6847347,6894677
6842202,6894760
6839574,6895258
6840897,6895725
20050000503,6895934
6837614,6896406
6844523,6897166
6847137,6897581
6838927,6897715
6842157,6897829
6845067,6898028
20050008279,6898364
6850727,6898388
6842173,6898473
6845553,6898473
6845456,6898718
6848673,6899319
6844618,6900080
6841544,6900189
6838742,6900485
6844666,6900585
6845034,6900667
6839680,6901056
6839576,6901274
6840214,6901920
6843532,6902235
6848344,6902436
6838772,6902963
6841430,6902991
6853020,6902994
6838412,6903041
6852929,6903273
6849818,6903291
6841751,6903293
6844571,6903381
6841457,6903384
6842044,6903577
6842124,6903669
6839463,6903782
6842064,6903912
6846734,6903967
6847565,6903980
6839407,6904126
6842558,6904191
6847778,6904228
6842674,6904335
6840235,6904356
6839803,6904540
6839800,6904573
6854124,6904604
6839946,6904666
6843245,6904905
6843269,6904930
6843559,6905203
6843562,6905206
6840807,6905369
6843689,6905370
6845340,6905393
6849853,6906331
6838730,6906380
6850213,6906471
6838853,6906489
6842399,6906565
6838989,6906629
6842186,6906736
6842553,6906838
6845666,6906849
6845668,6906849
6845669,6906849
6839187,6906871
6845024,6906936
6839280,6906958
6839363,6907052
6845108,6907052
6845448,6907401
6854099,6907588
6847527,6907658
6855060,6907667
6857313,6907780
6857491,6907860
6844054,6908170
6837727,6908326
6849356,6908699
6852619,6908840
6838616,6909046
6838619,6909046
6849853,6909099
6844638,6909210
6838843,6909290
6838890,6909298
6842125,6909386
6838976,6909396
6839085,6909460
6839192,6909564
6850168,6909666
6850252,6909790
6850755,6909897
6839701,6910051
6854027,6910083
6842870,6910160
6842962,6910263
6845569,6910292
6848422,6910461
6848248,6911105
6837958,6911106
6841230,6911259
6845788,6911276
6852390,6911276
6850366,6911674
6841907,6911748
6850863,6911801
6853910,6911906
6839017,6911934
6845954,6912006
6839092,6912012
6850407,6912122
6850820,6912145
6839286,6912165
6856538,6912174
6845184,6912333
6839822,6912482
6865582,6912555
6845390,6912569
6850252,6912585
6839794,6912612
6848128,6912743
6843231,6912995
6840273,6913037
6843280,6913045
6850025,6913403
6855395,6913817
6851184,6913952
6838300,6914014
6852616,6914331
6853169,6914419
6850126,6914495
6839010,6914546
6842131,6914546
6842278,6914660
6850431,6914809
6847553,6914823
6842388,6914835
6856712,6915033
6839720,6915306
6848062,6915350
6842413,6915374
6842795,6915491
6860122,6915668
6843267,6915812
6854703,6916003
6851260,6916115
6848917,6916188
6840680,6916196
6855000,6916197
6837743,6916201
6842963,6916229
6848978,6916232
6846266,6916269
6858536,6916380
6849306,6916509
6852426,6916558
6842229,6916585
6838287,6916664
6838628,6917001
6850048,6917123
6838918,6917220
6838911,6917221
6860347,6917234
6856255,6917303
6859147,6917306
6865174,6917311
6839975,6917418
6851794,6917445
6852137,6917514
6855177,6917514
6862186,6917526
6859406,6917549
6839301,6917561
6860048,6917573
6842538,6917699
6839384,6917713
6850236,6917715
6845234,6917802
6848008,6917806
6839655,6917839
6845091,6917977
6842425,6917985
6850987,6917985
6856627,6918063
6857026,6918063
6862263,6918063
6859770,6918098
6842883,6918099
6840217,6918374
6840449,6918539
6845861,6918588
6846032,6918623
6848493,6918623
6851830,6918686
6837009,6918712
6848943,6918791
6857907,6918792
6837848,6918908
6837900,6918923
6842229,6919152
6839108,6919215
6849877,6919215
6844609,6919234
6861727,6919234
6838368,6919264
6858132,6919294
6845190,6919560
6863584,6919581
6840886,6919658
6849854,6919690
6847184,6919712
6850031,6919712
6856497,6919712
6844739,6919714
6856137,6919726
6842367,6919754
6842071,6919761
6844807,6919790
6854062,6919790
6842140,6919843
6862002,6919843
6839096,6919932
6844960,6919983
6862143,6919994
6850406,6920035
6860620,6920046
6859414,6920068
6839421,6920126
6857021,6920126
6850138,6920230
6850630,6920233
6842502,6920240
6850787,6920345
6850788,6920345
6839685,6920432
6842906,6920444
6842847,6920514
6842860,6920556
6862615,6920630
6865387,6920630
6839970,6920696
6847130,6920718
6840108,6920793
6851504,6920954
6857495,6920954
6864294,6920982
6854186,6920987
6857548,6921008
6860504,6921102
6857687,6921122
6843937,6921148
6863543,6921301
6856753,6921452
6852283,6921513
6841255,6921670
6855602,6921695
6838778,6921984
6838840,6922027
6841983,6922044
6842075,6922107
6837095,6922144
6844821,6922173
6869569,6922241
6839158,6922276
6842167,6922276
6842657,6922276
6864875,6922276
6865010,6922276
6866760,6922276
6870661,6922276
6842357,6922350
6839299,6922370
6854120,6922411
6839473,6922495
6847758,6922503
6853760,6922509
6871018,6922526
6839516,6922531
6843344,6922621
6856569,6922649
6856955,6922667
6842760,6922701
6845420,6922738
6845409,6922739
6859135,6922788
6845509,6922838
6842956,6922882
6848725,6922882
6846023,6922886
6839563,6922904
6848203,6922924
6837019,6922967
6854266,6922988
6866090,6923012
6837209,6923091
D501259,6923195
6840273,6923207
6851994,6923225
6874554,6923358
6857686,6923491
6866327,6923491
6851756,6923507
6848944,6923664
6872085,6923664
6840651,6923677
6842343,6923691
6848970,6923710
6846457,6924152
6842974,6924174
6846720,6924182
6849527,6924182
6852600,6924182
6861323,6924202
6844606,6924429
6841746,6924443
6855898,6924443
6845114,6924457
6847009,6924461
6852950,6924461
6852983,6924488
6843771,6924587
6861793,6924590
6847198,6924632
6853296,6924735
6842128,6924756
6839046,6924786
6853355,6924846
6844953,6924922
6850359,6924925
6839157,6924938
6856335,6924938
6847503,6924959
6859341,6924959
6864653,6924979
6860321,6924982
6867447,6924999
6850435,6925004
6861689,6925006
6870383,6925027
6853325,6925115
6856744,6925239
6865380,6925292
6845086,6925302
6850973,6925337
6842721,6925420
6857012,6925492
6845074,6925575
6860116,6925822
6840131,6925904
6860313,6926063
6843328,6926094
6855099,6926094
6852057,6926115
6837386,6926152
6847425,6926415
6856366,6926415
6857765,6926426
6837616,6926440
6857947,6926585
6837801,6926615
6860864,6926687
6849361,6926969
6842201,6927087
6849514,6927131
6844251,6927155
6838410,6927264
6852830,6927298
6848916,6927335
6841746,6927350
6864767,6927350
6867448,6927444
6838751,6927483
6841863,6927484
6838781,6927499
6847128,6927502
6853094,6927502
6856039,6927502
6856040,6927502
6856041,6927502
6847028,6927538
6861813,6927551
6856866,6927552
6847224,6927598
6844681,6927683
6853605,6927739
6862018,6927742
6863413,6927811
6838689,6927861
6841486,6927861
6870683,6927910
6870740,6927972
6847524,6927978
6839284,6927998
6859376,6928005
6853660,6928095
6870868,6928095
6850619,6928165
6865747,6928165
6850249,6928187
6859598,6928221
6847803,6928276
6856602,6928282
6845437,6928460
6854108,6928639
D501350,6928674
6855061,6928712
6848501,6928730
6848227,6928777
6843080,6928842
6848283,6928842
6840098,6928857
6860216,6928949
6837196,6928966
6837213,6928979
6866016,6928983
6843327,6929074
6857983,6929074
6837370,6929123
6874625,6929123
6845904,6929174
6877460,6929175
6857567,6929177
6851635,6929201
6854785,6929308
6852154,6929361
6840651,6929387
6863433,6929394
6838755,6929485
6843685,6929492
6857904,6929512
6840924,6929627
6838486,6929675
6858145,6929748
6841141,6929784
6854309,6929830
6841228,6929849
6841143,6929970
6860982,6929970
6844227,6929987
6858529,6930019
6855621,6930025
6858308,6930025
6852661,6930070
6858580,6930090
6846839,6930124
6846893,6930148
6856923,6930236
6852924,6930246
6866718,6930252
6845633,6930285
6841469,6930382
6841893,6930402
6861781,6930430
6853336,6930644
6853748,6930711
6870567,6930718
6862069,6930742
6864931,6930750
6842353,6930895
6861689,6930918
6861872,6930948
6859446,6930981
6847657,6931006
6850570,6931068
6847737,6931144
6868214,6931167
6842556,6931170
6839573,6931262
6839574,6931262
6845164,6931362
6862594,6931405
6842773,6931433
6865585,6931504
6845176,6931513
6859909,6931603
6851097,6931609
6842893,6931627
6865730,6931627
6851111,6931638
6851112,6931638
6851251,6931684
6854545,6931708
6848190,6931749
6862816,6931750
6843002,6931770
6848434,6931865
6880394,6931921
6861950,6931923
6860211,6932007
6877466,6932034
6845312,6932056
6837230,6932065
6848437,6932065
6840294,6932130
6843288,6932130
6843289,6932130
6860354,6932179
6868966,6932215
6857907,6932275
6869136,6932405
6846035,6932419
6840573,6932425
6848740,6932425
6860568,6932434
6843085,6932448
6851829,6932501
6860630,6932501
6866588,6932511
6837724,6932615
6843670,6932632
6869306,6932640
6837720,6932649
6843686,6932649
6843687,6932649
6881170,6932741
6855106,6932760
6860851,6932776
6880222,6932875
6875988,6932903
6846523,6933022
6858518,6933160
6861280,6933161
6876072,6933177
6858789,6933431
6844493,6933439
6841852,6933593
6861288,6933597
6853559,6933613
6861740,6933613
6867501,6933613
6872589,6933613
6847128,6933625
6853094,6933625
6856039,6933625
6856040,6933625
6856041,6933625
6861827,6933708
6853173,6933711
6842078,6933731
6874110,6933747
6841982,6933770
6891905,6933775
6853273,6933816
6844809,6933835
6854059,6933835
6874592,6933836
6839480,6933852
6856901,6933860
6853336,6933897
6842191,6933971
6862058,6933993
6840097,6934018
6847456,6934035
6865506,6934107
6842313,6934128
6859340,6934135
6876508,6934135
6870103,6934147
6861689,6934186
6842864,6934201
6847552,6934207
6862243,6934207
6859081,6934215
6842398,6934216
6842443,6934252
6862337,6934355
6842555,6934440
6853758,6934458
6850707,6934472
6850787,6934570
6850788,6934570
6852083,6934570
6861639,6934570
6847609,6934745
6845465,6934804
6862674,6934821
6865657,6934821
6862681,6934833
6856931,6934929
6873720,6934929
6851125,6934969
6857151,6934990
6868583,6934997
6836945,6935007
6842973,6935007
6854260,6935098
6848257,6935112
6845671,6935206
6877723,6935309
6843217,6935315
6840283,6935377
6848550,6935455
6880688,6935455
6851655,6935692
6869160,6935729
6863388,6935731
6882379,6935749
6851967,6935765
6857881,6935869
6843748,6935979
6840936,6936046
6858026,6936046
6841211,6936318
6849953,6936500
6852559,6936516
6855582,6936516
6855583,6936516
6855989,6936516
6885055,6936516
6838358,6936523
6855341,6936638
6852920,6936761
6845190,6936810
6864509,6936855
6849494,6936879
6846734,6936882
6838320,6936888
6852926,6936918
6847275,6936921
6856056,6936942
6870292,6936948
6867563,6936988
6844760,6936996
6864644,6936996
6885568,6936996
6861830,6937000
6844631,6937047
6859883,6937067
6870458,6937138
6856590,6937159
6867718,6937176
6848219,6937295
6873422,6937349
6861792,6937383
6867910,6937388
6853261,6937456
6856525,6937487
6870759,6937506
6853029,6937514
6861689,6937516
6876239,6937530
6859456,6937585
6862283,6937600
6859432,6937601
6839454,6937751
6850095,6937791
6857012,6937842
6871055,6937847
6839417,6937852
6847954,6937908
6850806,6937929
6853965,6937929
6853937,6937939
6842991,6937954
6871411,6937954
6859769,6937968
6862580,6938006
6859523,6938048
6842809,6938054
6883026,6938054
6862629,6938088
6842825,6938134
6868527,6938216
6842945,6938303
6839944,6938307
6851220,6938320
6853829,6938351
6848920,6938522
6848350,6938528
6840277,6938636
6843276,6938645
6871714,6938711
6838844,6938725
6845865,6938759
6863176,6938760
6840573,6938951
6837596,6939026
6854880,6939039
6840447,6939182
6848966,6939194
6871416,6939199
6837885,6939350
6866732,6939436
6863876,6939528
6855425,6939608
6858338,6939639
6852593,6939723
6855971,6939723
6867083,6939752
6884677,6939765
6878506,6939777
6846363,6939813
6850012,6939813
6838410,6939930
6838612,6940018
6849805,6940023
6846706,6940126
6861706,6940126
6843335,6940136
6849902,6940136
6850821,6940186
6864601,6940190
6867524,6940198
6867525,6940198
6867563,6940246
6838844,6940250
6861813,6940250
6885168,6940256
6850426,6940259
6856040,6940259
6842326,6940260
6848296,6940284
6851302,6940284
6885932,6940284
6889133,6940284
6853241,6940348
6861890,6940352
6850175,6940429
6839010,6940435
6842129,6940435
6873281,6940435
6870516,6940468
6873240,6940468
6860806,6940538
6858864,6940637
6865021,6940641
6842289,6940654
6865052,6940682
6867377,6940723
6869230,6940723
6862194,6940733
6850429,6940744
6850455,6940744
6856536,6940744
6859382,6940744
6870755,6940744
6850457,6940760
6885616,6940798
6839759,6940835
6853628,6940844
6845130,6940907
6882700,6940943
6876760,6941013
6842547,6941045
6853756,6941045
6879781,6941069
6859450,6941110
6850741,6941123
6850225,6941125
6839599,6941177
6865469,6941212
6884128,6941218
6839882,6941236
6848187,6941241
6862551,6941241
6862710,6941268
6868380,6941268
6874018,6941268
6839059,6941324
6865600,6941324
6879862,6941324
6880132,6941324
6848042,6941418
6842773,6941466
6839889,6941539
6877165,6941572
6883186,6941588
6871393,6941645
6886231,6941645
6886241,6941645
6839964,6941648
6837369,6941728
6854296,6941775
6862907,6941781
6840101,6941807
6862963,6941847
6837187,6941897
6837040,6941908
6842686,6941928
6840243,6941950
6878082,6942048
6845999,6942053
6837379,6942102
6837435,6942153
6852929,6942153
6883897,6942314
6837567,6942315
6851828,6942359
6860656,6942401
6843659,6942495
6837885,6942661
6858076,6942733
6841484,6942813
6838040,6942828
6837952,6942893
6869650,6942907
6849461,6943036
6852636,6943039
6855929,6943043
6841030,6943045
6867841,6943052
6867098,6943075
6849545,6943097
6838330,6943125
6884117,6943292
6845012,6943293
6873043,6943293
6843681,6943296
6880020,6943296
6852929,6943297
6857217,6943304
6864462,6943323
6844550,6943351
6847854,6943357
6841817,6943397
6838771,6943431
6837320,6943460
6838851,6943513
6859003,6943513
6864962,6943522
6885229,6943533
6873156,6943551
6870411,6943600
6882831,6943600
6842075,6943629
6879817,6943643
6870425,6943720
6876329,6943733
6847328,6943737
6867737,6943737
6870509,6943741
6864825,6943742
6876336,6943743
6856297,6943748
6885384,6943796
6862106,6943833
6864917,6943833
6839517,6943938
6845187,6943938
6839180,6943956
6842292,6943956
6844980,6943956
6856763,6943963
6864766,6944001
6864769,6944001
6877994,6944028
6876556,6944036
6861315,6944062
6845055,6944092
6842412,6944106
6873645,6944147
6839321,6944172
6845456,6944229
6865237,6944236
6850597,6944266
6862338,6944267
6865291,6944350
6859565,6944356
6856747,6944388
6850540,6944453
6862514,6944508
6856905,6944541
6868037,6944546
6868920,6944547
6850603,6944591
6868385,6944591
6882709,6944591
6853971,6944592
6859776,6944592
6873951,6944592
6892212,6944637
6839756,6944650
6851062,6944663
6886081,6944722
6894945,6944737
6839462,6944771
6850619,6944771
6853726,6944771
6859790,6944771
6885748,6944771
6874103,6944796
6850806,6944824
6848088,6944838
6842769,6944855
6839952,6944928
6851174,6944941
6860034,6944972
6848239,6945018
6880311,6945018
6845931,6945025
6848298,6945093
6857345,6945149
6848418,6945222
6837252,6945259
6841030,6945299
6892800,6945318
6853874,6945381
6880747,6945399
6837510,6945553
6863330,6945585
6874667,6945594
6890015,6945594
6870976,6945711
6843606,6945712
6856042,6945747
6851574,6945766
6837715,6945785
6866516,6945785
6840651,6945806
6855558,6945809
6837743,6945818
6860761,6945818
6875067,6945833
6872120,6945849
6863596,6945863
6843739,6945883
6852054,6945894
6880558,6945971
6858181,6946021
6851220,6946045
6860063,6946045
6860085,6946045
6871447,6946045
6871479,6946045
6869266,6946052
6846432,6946076
6841221,6946185
6841226,6946240
6894156,6946248
6855569,6946305
6884638,6946305
6837776,6946311
6869806,6946317
6853067,6946321
6872661,6946324
6876035,6946335
6849539,6946388
6872322,6946408
6844446,6946532
6838489,6946533
6844409,6946533
6848726,6946621
6873589,6946634
6891167,6946663
6870180,6946676
6838296,6946678
6853315,6946695
6847146,6946768
6847147,6946768
6861279,6946802
6879137,6946823
6841302,6946851
6881521,6946851
6890685,6946851
6861908,6946912
6882227,6946913
6859108,6946917
6876244,6946917
6864769,6946935
6867954,6946935
6864774,6946945
6844834,6946982
6842145,6946999
6878918,6947086
6867866,6947135
6855464,6947141
6864999,6947184
6850355,6947202
6876476,6947203
6877165,6947231
6865044,6947235
6882488,6947235
6881896,6947295
6882040,6947295
6845031,6947309
6873536,6947309
6847735,6947484
6853989,6947574
6865247,6947585
6853453,6947601
6870833,6947602
6856710,6947618
6859591,6947648
6876799,6947648
6873772,6947655
6848008,6947738
6838998,6947755
